Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CHILE,..,..,..,..,..,"1,528","1,340","1,444","1,509","1,727","2,031","2,264","2,451","2,317","2,359","2,737","3,220","3,448","3,674","3,842","4,103","4,269","4,367","4,605","4,091","1,162",519,"2,366"
CHINA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COLOMBIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COMOROS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CONGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,161,180,..,..,..,..,..,..,..,..,..
"CONGO, DEMOCRATIC REPUBLIC OF THE",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COOK ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COSTA RICA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
COTE D´IVOIRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,731
CROATIA,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,393","4,823",..,"5,526","5,159","5,444","4,638","4,355","2,581","2,597","2,980","3,500",678,907,"2,004"
CUBA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CURAÇAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CYPRUS,360,365,422,484,540,588,684,744,737,859,914,932,"1,081","1,210","1,172","1,246","1,209","1,194","1,115","1,209","1,119","1,268","1,407","1,446","1,578",482,514,..
CZECH REPUBLIC (CZECHIA),..,..,..,..,..,..,..,..,..,..,..,..,"11,508","12,713","12,336","11,891",..,..,..,..,..,..,..,..,..,..,..,..
DENMARK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DJIBOUTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DOMINICA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
DOMINICAN REPUBLIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ECUADOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
EGYPT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,716","4,618","4,863","5,678","5,782","6,180",..,..,..,..,..,..,..,..
EL SALVADOR,348,492,627,868,787,923,933,"1,001",940,"1,079","1,239","1,242","1,012",..,"1,345","1,421","1,469","1,462","1,515","1,515","1,618","1,804","1,871","1,788","1,899",515,"1,093","1,862"
EQUATORIAL GUINEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ERITREA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ESTONIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ESWATINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ETHIOPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FIJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FINLAND,..,..,..,..,..,..,..,..,..,..,"6,668","6,428","6,413","6,566","6,693","7,485","8,238","9,978","9,526","9,783","10,022","10,278","10,480","10,480","10,440","2,690","2,270","6,780"
FRANCE,..,..,..,..,..,..,..,..,..,..,..,"27,107","33,144","30,960","30,646","29,973","31,153","29,642","30,457","31,941","30,608","29,636","44,265","48,069","49,276","21,287","22,007","39,484"
FRENCH GUIANA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
FRENCH POLYNESIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GABON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GAMBIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GEORGIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GERMANY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GHANA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,168,191,222,233,260,188,..,..
GREECE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GRENADA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUADELOUPE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113,..,..,..,..,..,..,..,..,..
GUAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUATEMALA,333,333,331,391,485,488,580,629,658,854,982,"1,055","1,168","1,277",651,694,718,721,846,992,"1,130","1,195","1,324","1,538","1,703",508,437,"1,411"
GUINEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUINEA-BISSAU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GUYANA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HAITI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HONDURAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,090","1,092","1,072","1,055","1,065","1,150","1,121",727,703,..,..,..,..
"HONG KONG, CHINA",..,..,..,"47,594","53,144","58,901","61,096","64,540","60,936","68,903","72,300","75,812","80,682","81,911","81,958","84,442","84,816","85,276","84,380","84,519","89,082","91,758","91,304","92,214","94,715","8,261",905,"2,181"
HUNGARY,"13,083","12,064","12,173","12,317","10,622","11,065","11,167","12,966","14,283","17,558","17,759","16,597","17,056","17,162","16,640","16,082","16,634","16,143","16,038","16,340","17,276","18,895","20,297","22,805","24,860","12,727","13,258","18,013"
ICELAND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
INDIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"23,943","26,296","26,915","7,295","8,551","21,600"
INDONESIA,..,..,..,..,..,"2,205","2,505","3,231","3,478","3,941","4,106","4,967","5,158","5,486","5,053","6,235","6,750","7,454","8,025","8,074","8,176","8,340","8,856","9,468","11,689","2,918","1,711","3,541"
"IRAN, ISLAMIC REPUBLIC OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,698","6,620","9,007","10,543","7,243",..,"1,550","2,626","9,311"
IRAQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IRELAND,"2,547","2,733","3,053","3,330","3,576","3,783","4,216","4,634","4,929","5,409","6,113","6,848","7,713","7,877","7,047","6,917","6,514","6,600","6,579","6,676","7,094","7,646","8,171","8,643","9,350","2,326","2,276",..
ISRAEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ITALY,..,..,"40,196","42,431","42,390","44,628","43,611","44,660","46,357","40,400","43,407","46,369","49,166","54,421","54,839","55,304","52,617","53,338","52,633","55,169","57,418","57,480","60,042","61,195","62,207","21,448","17,588","46,695"
JAMAICA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
JAPAN,"15,298","16,695","16,803","15,806","16,358","17,819","16,216","16,523","13,296","16,831","17,404","17,535","17,295","15,987","15,446","16,637","16,994","18,491","17,473","16,903","16,214","17,116","17,889","18,954","20,081","3,174",512,"2,772"
JORDAN,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,288","2,466","3,086","2,194","1,780","1,744","1,407","1,633","1,745",..,..,..,..,..,..
KAZAKHSTAN,..,..,..,..,..,..,..,..,..,..,..,"3,688","4,544","4,330","5,423","6,019","8,020","9,066","10,144","10,450","11,303","9,756","10,261","10,646","10,707","2,865","3,501","7,670"
KENYA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
KIRIBATI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"KOREA, REPUBLIC OF","3,819","4,649","4,542","3,067","4,342","5,508","6,084","7,123","7,086","8,826","10,080","11,610","13,325","11,996","9,494","12,488","12,694","13,737","14,846","16,081","19,310","22,383","26,496","28,696","28,714","4,276","1,223","6,554"
KUWAIT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
KYRGYZSTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,273","2,354","1,342","3,061","3,621","3,993","3,790","4,008","4,185","4,446","6,839","5,314","1,520","1,808","3,734"
LAO PEOPLE´S DEMOCRATIC REPUBLIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,686","1,788","2,052","2,857","3,320","3,067","3,059","3,049","3,207","2,690",707,..,..
LATVIA,"1,812","1,798","1,877","1,961","2,256","2,596","2,697","2,306","2,286","2,457","2,959","3,151","3,398","3,782","3,268","3,332","3,257","1,830","1,776","1,846","1,720","1,939","2,055","2,175","2,384",690,629,"1,729"
LEBANON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LESOTHO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LIBERIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LIBYA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LIECHTENSTEIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
LITHUANIA,..,..,..,..,..,..,..,..,..,..,..,"4,362","3,627","3,847","3,639","4,311","4,020","4,108","4,228","4,292","3,981","4,143","4,294","4,702","4,881","1,643","1,743","3,999"
LUXEMBOURG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"MACAO, CHINA","7,880","10,155","12,072","9,371","10,337","14,588","18,223","20,480","19,234","22,054","26,084","25,759","25,095","25,101","24,997","25,639","26,355","23,919","23,535","23,705","26,050","26,641","27,757","28,438","30,429","14,426","20,876","21,154"
MADAGASCAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALAWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,244,..,..,..
MALAYSIA,"20,642","23,333","26,165","25,631","26,067","30,532","36,248","29,866","32,201","30,761",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALDIVES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MALTA,..,..,..,..,..,..,..,..,..,..,..,..,..,292,292,328,348,368,404,430,456,550,633,728,774,218,344,695
MARSHALL ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MARTINIQUE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAURITANIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAURITIUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MEXICO,"103,161","103,442","107,242","107,927","117,383","127,268","123,732","124,633","123,015","128,903","128,392","122,022","109,540","107,519","98,228","91,658","88,113","87,332","90,787","90,982","94,988","97,372","94,274","86,280","82,752","36,056","32,978","41,891"
"MICRONESIA, FEDERATED STATES OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"MOLDOVA, REPUBLIC OF",..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,117,136,147,158,181,190,177,229,264,311,75,218,325
MONACO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONGOLIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONTENEGRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MONTSERRAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MOROCCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MOZAMBIQUE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MYANMAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NAMIBIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NAURU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NEPAL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NETHERLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NEW CALEDONIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NEW ZEALAND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NICARAGUA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NIGER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NIGERIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NIUE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NORTH MACEDONIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NORTHERN MARIANA ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NORWAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OMAN,..,..,..,..,..,..,..,..,..,..,"2,496","2,664","2,945","3,100","2,470","2,829","3,341","3,972","4,301","4,727","5,424","5,902","6,368","5,975","6,633","1,657","1,949","5,188"
PAKISTAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PALAU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PANAMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PAPUA NEW GUINEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PARAGUAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,913","1,882","1,885",495,476,"1,291"
PERU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
POLAND,"36,387","44,713","48,610","49,328","55,097","56,677","53,122","45,043","38,730","37,226","40,841","44,696","47,561","50,243","39,270","42,760","43,270","48,290","52,580","35,400","44,300","44,500","46,700","48,600","50,600","26,906","24,220","33,748"
PORTUGAL,..,..,..,..,..,..,..,..,..,"17,141","18,110","18,378","20,989",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PUERTO RICO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
QATAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
REUNION,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ROMANIA,"5,737","5,748","6,243","6,893","6,274","6,388","6,408","5,757","6,497","6,972","7,140","8,906","10,980","13,072","11,723","10,905","10,936","11,149","11,364","12,299","13,118","16,128","19,953","21,039","23,066","9,510","11,643","17,265"
RUSSIAN FEDERATION,"21,329","12,260","11,182","10,635","12,631","18,371","18,030","20,428","20,572","24,507","28,416","29,107","34,285","36,538","34,276","39,323","43,726","47,813","54,069","45,889","34,550","31,659","39,629","41,964","45,330","12,361",..,..
RWANDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SABA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAINT KITTS AND NEVIS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAINT LUCIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAINT VINCENT AND THE GRENADINES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAMOA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAN MARINO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAO TOME AND PRINCIPE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SAUDI ARABIA,..,..,..,..,..,..,..,..,..,"4,234","5,009","2,336","4,817","4,705","6,467","18,625","15,865","20,084","22,535","22,323","25,054","27,618","28,748","27,425","27,196","6,657","10,678","24,264"
SENEGAL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SERBIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SERBIA AND MONTENEGRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SEYCHELLES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SIERRA LEONE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SINGAPORE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SINT EUSTATIUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SINT MAARTEN (DUTCH PART),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SLOVAKIA,..,..,..,..,..,..,..,..,..,..,"2,987","3,149","3,603","3,683","3,230","2,692","3,285","2,689","2,129","2,406","2,777","3,095","3,870","4,662","5,214","1,044","1,562",..
SLOVENIA,..,..,..,..,..,..,..,..,..,..,"6,736","6,814","5,569","5,490","5,575","5,340","5,073","4,465","4,440","4,672","4,909","5,408","5,410","5,409","6,049","1,892","3,030","4,727"
SOLOMON ISLANDS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
SOMALIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
