Country,Latitude (average),Longitude (average),Total (thousands),Overnight (thousands),Same-day (thousands)
Tunisia,34,9,..,..,..
Turkey,39,35,76567,52327,24240
Turkmenistan,40,60,..,..,..
Turks and Caicos Islands,21.75,-71.5833,..,..,..
Tuvalu,-8,178,..,..,..
Uganda,1,32,23608,9456,14152
Ukraine,49,32,..,..,..
United Arab Emirates,24,54,..,..,..
United Kingdom,54,-2,2914000,126000,2788000
United States,38,-97,..,..,..
United States Minor Outlying Islands,19.2833,166.6,..,..,..
Uruguay,-33,-56,..,..,..
Uzbekistan,41,64,..,..,..
Vanuatu,-16,167,..,..,..
"Venezuela, Bolivarian Republic of",8,-66,..,..,..
Viet Nam,16,106,101300,66700,34600
"Virgin Islands, British",18.5,-64.5,..,..,..
"Virgin Islands, U.S.",18.3333,-64.8333,..,..,..
Wallis and Futuna,-13.3,-176.2,..,..,..
Western Sahara,24.5,-13,..,..,..
Yemen,15,48,..,..,..
Zambia,-15,30,..,..,..
Zimbabwe,-20,30,21164,12275,8889
