name_en,date_inscribed,longitude,latitude,area_hectares,category,states_name_en,region_en
Western Ghats,2012,77.24972222,8.529722222,795315,Natural,India,Asia and the Pacific
Santiniketan,2023,87.68497222,23.68027778,36,Cultural,India,Asia and the Pacific
Great Himalayan National Park Conservation Area,2014,77.58333333,31.83333333,90540,Natural,India,Asia and the Pacific
Victorian Gothic and Art Deco Ensembles of Mumbai,2018,72.83008333,18.92980556,66.34,Cultural,India,Asia and the Pacific
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",2016,85.44388889,25.13666667,23,Cultural,India,Asia and the Pacific
Khangchendzonga National Park,2016,88.37722222,27.76472222,178400,Mixed,India,Asia and the Pacific
Historic City of Ahmadabad,2017,72.58805556,23.02638889,535.7,Cultural,India,Asia and the Pacific
"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",2021,79.94320556,18.25913333,5.93,Cultural,India,Asia and the Pacific
"Jaipur City, Rajasthan",2019,75.82186111,26.92427778,710,Cultural,India,Asia and the Pacific
Dholavira: a Harappan City,2021,70.21330278,23.88840833,103,Cultural,India,Asia and the Pacific
Sacred Ensembles of the Hoysalas,2023,75.99407222,13.21245278,10.47,Cultural,India,Asia and the Pacific
Moidams – the Mound-Burial System of the Ahom Dynasty,2024,94.87635,26.94117472,96.5,Cultural,India,Asia and the Pacific
Maratha Military Landscapes of India,2025,73.9425,20.7225,1577.63,Cultural,India,Asia and the Pacific
Borobudur Temple Compounds,1991,110.20361,-7.60778,25.51,Cultural,Indonesia,Asia and the Pacific
Sangiran Early Man Site,1996,110.8166667,-7.4,5600,Cultural,Indonesia,Asia and the Pacific
Ujung Kulon National Park,1991,105.3333333,-6.75,78525,Natural,Indonesia,Asia and the Pacific
Komodo National Park,1991,119.48944,-8.54333,219322,Natural,Indonesia,Asia and the Pacific
Prambanan Temple Compounds,1991,110.49167,-7.75222,0,Cultural,Indonesia,Asia and the Pacific
Lorentz National Park,1999,137.83333,-4.75,2350000,Natural,Indonesia,Asia and the Pacific
Tropical Rainforest Heritage of Sumatra,2004,101.5,-2.5,2595124,Natural,Indonesia,Asia and the Pacific
Cultural Landscape of Bali Province: the <em>Subak</em> System as a Manifestation of the <em>Tri Hita Karana</em> Philosophy,2012,115.4027778,-8.259166667,19519.9,Cultural,Indonesia,Asia and the Pacific
Ombilin Coal Mining Heritage of Sawahlunto,2019,100.7378833,-0.766625556,268.18,Cultural,Indonesia,Asia and the Pacific
The Cosmological Axis of Yogyakarta and its Historic Landmarks,2023,110.3647778,-7.801388889,42.22,Cultural,Indonesia,Asia and the Pacific
Tchogha Zanbil,1979,48.522118,32.00857,0,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Persepolis,1979,52.89028,29.93444,12.5,Cultural,Iran (Islamic Republic of),Asia and the Pacific
"Meidan Emam, Esfahan",1979,51.67777778,32.65745,0,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Takht-e Soleyman,2003,47.235,36.60388889,10,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Pasargadae,2004,53.16729,30.19383,159.65,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Soltaniyeh,2005,48.79667,36.43528,790.146,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Bam and its Cultural Landscape,2004,58.36666667,29.11683,0,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Bisotun,2006,47.43666667,34.38833333,187,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Armenian Monastic Ensembles of Iran,2008,45.47333333,38.97888889,129.2819,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Shushtar Historical Hydraulic System,2009,48.83583333,32.01861111,240.4152,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,2010,48.29138889,38.24861111,2.1353,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Tabriz Historic Bazaar Complex,2010,46.29305556,38.08138889,28.9733,Cultural,Iran (Islamic Republic of),Asia and the Pacific
The Persian Garden,2011,53.16666667,30.16666667,716.35,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Masjed-e Jāmé of Isfahan,2012,51.68527778,32.66972222,2.0756,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Gonbad-e Qābus,2012,55.169,37.25802778,1.4754,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Golestan Palace,2013,51.42051111,35.68036667,5.3,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Cultural Landscape of Maymand,2015,55.37555556,30.16805556,4953.85,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Susa,2015,48.25611111,32.18944444,350,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Shahr-i Sokhta,2014,61.32777778,30.59388889,275,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Lut Desert,2016,58.83888889,30.21611111,2278015,Natural,Iran (Islamic Republic of),Asia and the Pacific
The Persian Qanat,2016,58.65444444,34.29,19057,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Historic City of Yazd,2017,54.36916667,31.90138889,195.67,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Sassanid Archaeological Landscape of Fars Region,2018,51.57045,29.77748056,639.3,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Trans-Iranian Railway,2021,51.39833333,35.65830556,5784,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Cultural Landscape of Hawraman/Uramanat,2021,46.47785,35.10735833,106307,Cultural,Iran (Islamic Republic of),Asia and the Pacific
The Persian Caravanserai,2023,51.42013611,35.05835278,30.34,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Hegmataneh,2024,48.51668611,34.80238889,,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Prehistoric Sites of the Khorramabad Valley,2025,48.34557222,33.49210833,394.46,Cultural,Iran (Islamic Republic of),Asia and the Pacific
Samarra Archaeological City,2007,43.82354306,34.34098944,15058,Cultural,Iraq,Arab States
Hatra,1985,42.71833,35.58806,323.75,Cultural,Iraq,Arab States
Babylon,2019,44.42083333,32.54196944,1054.3,Cultural,Iraq,Arab States
Ashur (Qal'at Sherqat),2003,43.26111111,35.45666667,70,Cultural,Iraq,Arab States
Erbil Citadel,2014,44.00916667,36.19111111,15.6,Cultural,Iraq,Arab States
The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,2016,47.65777778,31.56222222,211544,Mixed,Iraq,Arab States
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,1993,-6.4755,53.69469444,770,Cultural,Ireland,Europe and North America
Sceilg Mhichíl,1996,-10.53861,51.77194,21.9,Cultural,Ireland,Europe and North America
Masada,2001,35.35361111,31.31555556,276,Cultural,Israel,Europe and North America
Old City of Acre,2001,35.06888889,32.92166667,63.3,Cultural,Israel,Europe and North America
White City of Tel-Aviv – the Modern Movement,2003,34.77416667,32.07777778,140.4,Cultural,Israel,Europe and North America
Incense Route - Desert Cities in the Negev,2005,35.00916667,30.57388889,6655,Cultural,Israel,Europe and North America
"Biblical Tels - Megiddo, Hazor, Beer Sheba",2005,35.18222,32.59722,96.04,Cultural,Israel,Europe and North America
Bahá’i Holy Places in Haifa and the Western Galilee,2008,34.97164889,32.82939667,62.58,Cultural,Israel,Europe and North America
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,2014,34.9,31.60111111,259,Cultural,Israel,Europe and North America
Sites of Human Evolution at Mount Carmel: The Nahal Me’arot / Wadi el-Mughara Caves,2012,34.96805556,32.66861111,54,Cultural,Israel,Europe and North America
Necropolis of Bet She’arim: A Landmark of Jewish Renewal,2015,35.12694444,32.70222222,12.2,Cultural,Israel,Europe and North America
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,1980,9.171,45.466,1.5,Cultural,Italy,Europe and North America
Rock Drawings in Valcamonica,1979,10.29733333,45.95705556,432.3,Cultural,Italy,Europe and North America
Historic Centre of Florence,1982,11.25611,43.77306,532,Cultural,Italy,Europe and North America
Medici Villas and Gardens in Tuscany,2013,11.30416667,43.85777778,125.4,Cultural,Italy,Europe and North America
Venice and its Lagoon,1987,12.33894444,45.43430556,70176.4,Cultural,Italy,Europe and North America
"Piazza del Duomo, Pisa",1987,10.39638889,43.72305556,8.87,Cultural,Italy,Europe and North America
Castel del Monte,1996,16.27094444,41.08480556,3.1,Cultural,Italy,Europe and North America
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",1997,14.32639,41.07333,87.37,Cultural,Italy,Europe and North America
Historic Centre of San Gimignano,1990,11.04167,43.46806,13.88,Cultural,Italy,Europe and North America
The Sassi and the Park of the Rupestrian Churches of Matera,1993,16.61027778,40.66638889,1016,Cultural,Italy,Europe and North America
City of Vicenza and the Palladian Villas of the Veneto,1994,11.54944444,45.54916667,333.87,Cultural,Italy,Europe and North America
Historic Centre of Siena,1995,11.33166667,43.31861111,170,Cultural,Italy,Europe and North America
Historic Centre of Naples,1995,14.26277778,40.85138889,1021,Cultural,Italy,Europe and North America
Crespi d'Adda,1995,9.53833,45.59333,0,Cultural,Italy,Europe and North America
"Ferrara, City of the Renaissance, and its Po Delta",1995,11.61944444,44.83777778,46712,Cultural,Italy,Europe and North America
The <I>Trulli</I> of Alberobello,1996,17.23694,40.7825,10.52,Cultural,Italy,Europe and North America
Early Christian Monuments of Ravenna,1996,12.19625,44.42041667,1.32,Cultural,Italy,Europe and North America
Historic Centre of the City of Pienza,1996,11.67861111,43.07694444,4.41,Cultural,Italy,Europe and North America
City of Verona,2000,10.99388889,45.43861111,444.4,Cultural,Italy,Europe and North America
Residences of the Royal House of Savoy,1997,7.68572,45.07253,370.82,Cultural,Italy,Europe and North America
"Botanical Garden (Orto Botanico), Padua",1997,11.88066667,45.39911111,2.2,Cultural,Italy,Europe and North America
Archaeological Area and the Patriarchal Basilica of Aquileia,1998,13.3675,45.76833333,155.43,Cultural,Italy,Europe and North America
"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",1997,9.72917,44.10694,4689.25,Cultural,Italy,Europe and North America
"Cathedral, Torre Civica and Piazza Grande, Modena",1997,10.92568,44.64624,1.2,Cultural,Italy,Europe and North America
Historic Centre of Urbino,1998,12.63333,43.725,29.23,Cultural,Italy,Europe and North America
"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",1997,14.48333333,40.75,98.05,Cultural,Italy,Europe and North America
Costiera Amalfitana,1997,14.60277778,40.63333333,11231,Cultural,Italy,Europe and North America
Archaeological Area of Agrigento,1997,13.59333333,37.28972222,934,Cultural,Italy,Europe and North America
Villa Romana del Casale,1997,14.33417,37.36611,8.92,Cultural,Italy,Europe and North America
Su Nuraxi di Barumini,1997,8.991388889,39.70583333,2.3254,Cultural,Italy,Europe and North America
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",1998,15.26666667,40.28333333,159109.73,Cultural,Italy,Europe and North America
Villa Adriana (Tivoli),1999,12.77197222,41.94416667,80,Cultural,Italy,Europe and North America
Isole Eolie (Aeolian Islands),2000,14.94558333,38.48786111,1216,Natural,Italy,Europe and North America
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",2000,12.62244444,43.06616667,14563.25,Cultural,Italy,Europe and North America
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),2002,15.06891667,36.89319444,112.79,Cultural,Italy,Europe and North America
"Villa d'Este, Tivoli",2001,12.79625,41.96391667,4.5,Cultural,Italy,Europe and North America
Val d'Orcia,2004,11.55,43.06666667,61187.9609,Cultural,Italy,Europe and North America
<I>Sacri Monti</I> of Piedmont and Lombardy,2003,9.169555556,45.97455556,90.5,Cultural,Italy,Europe and North America
Etruscan Necropolises of Cerveteri and Tarquinia,2004,12.10188889,42.00683333,326.93,Cultural,Italy,Europe and North America
Syracuse and the Rocky Necropolis of Pantalica,2005,15.29306,37.05944,898.46,Cultural,Italy,Europe and North America
Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,2006,8.931111111,44.41222222,15.777,Cultural,Italy,Europe and North America
The Dolomites,2009,12.16305556,46.61305556,141902.8,Natural,Italy,Europe and North America
Mantua and Sabbioneta,2008,10.79444444,45.15944444,235.43,Cultural,Italy,Europe and North America
Longobards in Italy. Places of the Power (568-774 A.D.),2011,13.43305556,46.09416667,14.08,Cultural,Italy,Europe and North America
Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,2014,7.963611111,44.60861111,10789,Cultural,Italy,Europe and North America
Mount Etna,2013,14.99666667,37.75611111,19237,Natural,Italy,Europe and North America
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,2015,13.35305556,38.11083333,6.235,Cultural,Italy,Europe and North America
"Ivrea, industrial city of the 20th century",2018,7.869166667,45.4575,52.37,Cultural,Italy,Europe and North America
Le Colline del Prosecco di Conegliano e Valdobbiadene,2019,12.22611111,45.95302778,20334.2,Cultural,Italy,Europe and North America
Padua’s fourteenth-century fresco cycles,2021,11.87961111,45.41188889,19.96,Cultural,Italy,Europe and North America
The Porticoes of Bologna,2021,11.33277778,44.49138889,52.18,Cultural,Italy,Europe and North America
Evaporitic Karst and Caves of Northern Apennines,2023,10.38891667,44.37994444,3680,Natural,Italy,Europe and North America
Via Appia. <em>Regina Viarum</em>,2024,13.26272222,41.29272222,4639.92,Cultural,Italy,Europe and North America
Funerary Tradition in the Prehistory of Sardinia – <em>The domus de janas</em>,2025,8.951333333,40.08513889,,Cultural,Italy,Europe and North America
Blue and John Crow Mountains,2015,-76.57111111,18.0775,26251.6,Mixed,Jamaica,Latin America and the Caribbean
The Archaeological Ensemble of 17th Century Port Royal,2025,-76.84337778,17.93861389,27,Cultural,Jamaica,Latin America and the Caribbean
Buddhist Monuments in the Horyu-ji Area,1993,135.7333333,34.61666667,15.3,Cultural,Japan,Asia and the Pacific
Himeji-jo,1993,134.7,34.83333333,107,Cultural,Japan,Asia and the Pacific
Yakushima,1993,130.5086111,30.315,10747,Natural,Japan,Asia and the Pacific
Shirakami-Sanchi,1993,140.1155556,40.4525,16971,Natural,Japan,Asia and the Pacific
"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",1994,135.7694444,34.98055556,1056,Cultural,Japan,Asia and the Pacific
Historic Villages of Shirakawa-go and Gokayama,1995,136.8833333,36.4,68,Cultural,Japan,Asia and the Pacific
Hiroshima Peace Memorial (Genbaku Dome),1996,132.453611,34.395556,0.4,Cultural,Japan,Asia and the Pacific
Itsukushima Shinto Shrine,1996,132.3246389,34.29441667,431.2,Cultural,Japan,Asia and the Pacific
Historic Monuments of Ancient Nara,1998,135.8394444,34.67555556,617,Cultural,Japan,Asia and the Pacific
Shrines and Temples of Nikko,1999,139.6105556,36.7475,50.8,Cultural,Japan,Asia and the Pacific
Gusuku Sites and Related Properties of the Kingdom of Ryukyu,2000,127.6827778,26.20861111,54.9,Cultural,Japan,Asia and the Pacific
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,2004,135.7763889,33.83694444,506.4,Cultural,Japan,Asia and the Pacific
Shiretoko,2005,144.96583,43.94944,71100,Natural,Japan,Asia and the Pacific
Iwami Ginzan Silver Mine and its Cultural Landscape,2007,132.435,35.11277778,529.17,Cultural,Japan,Asia and the Pacific
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",2011,141.1077778,39.00111111,176.2,Cultural,Japan,Asia and the Pacific
Ogasawara Islands,2011,142.0997222,27.71833333,7939,Natural,Japan,Asia and the Pacific
"Fujisan, sacred place and source of artistic inspiration",2013,138.7275,35.36083333,20702.1,Cultural,Japan,Asia and the Pacific
Tomioka Silk Mill and Related Sites,2014,138.8877778,36.25527778,7.2,Cultural,Japan,Asia and the Pacific
"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",2015,131.4122222,34.43055556,306.66,Cultural,Japan,Asia and the Pacific
Hidden Christian Sites in the Nagasaki Region,2018,128.9038889,32.80222222,5566.55,Cultural,Japan,Asia and the Pacific
Sacred Island of Okinoshima and Associated Sites in the Munakata Region,2017,130.1055556,34.245,98.93,Cultural,Japan,Asia and the Pacific
"Amami-Oshima Island, Tokunoshima Island, Northern part of Okinawa Island, and Iriomote Island",2021,129.3783333,28.27916667,42698,Natural,Japan,Asia and the Pacific
Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,2019,135.6094444,34.56222222,166.66,Cultural,Japan,Asia and the Pacific
Jomon Prehistoric Sites in Northern Japan,2021,140.5522222,41.06555556,141.9,Cultural,Japan,Asia and the Pacific
Sado Island Gold Mines,2024,138.2577778,38.04083333,750.9,Cultural,Japan,Asia and the Pacific
Old City of Jerusalem and its Walls,1981,35.23166667,31.77777778,0,Cultural,Jerusalem (Site proposed by Jordan),Arab States
Petra,1985,35.44333,30.33056,26171,Cultural,Jordan,Arab States
Quseir Amra,1985,36.58730556,31.80180556,0.0445,Cultural,Jordan,Arab States
As-Salt - The Place of Tolerance and Urban Hospitality,2021,35.72830556,32.04261111,24.68,Cultural,Jordan,Arab States
Um er-Rasas (Kastrom Mefa'a),2004,35.92056,31.50167,23.928,Cultural,Jordan,Arab States
Wadi Rum Protected Area,2011,35.43388889,29.63972222,74179.7,Mixed,Jordan,Arab States
Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),2015,35.55277778,31.83722222,294.155,Cultural,Jordan,Arab States
Umm Al-Jimāl,2024,36.37,32.32694444,42.584,Cultural,Jordan,Arab States
Saryarka – Steppe and Lakes of Northern Kazakhstan,2008,69.18888889,50.43333333,450344,Natural,Kazakhstan,Asia and the Pacific
Mausoleum of Khoja Ahmed Yasawi,2003,68.27105556,43.29769444,0.55,Cultural,Kazakhstan,Asia and the Pacific
Petroglyphs of the Archaeological Landscape of Tanbaly,2004,75.535,43.80333333,900,Cultural,Kazakhstan,Asia and the Pacific
Mount Kenya National Park/Natural Forest,1997,37.31555556,-0.155,202334,Natural,Kenya,Africa
Lake Turkana National Parks,1997,36.50366667,3.051305556,161485,Natural,Kenya,Africa
Lamu Old Town,2001,40.8525,-2.284444444,15.6,Cultural,Kenya,Africa
Kenya Lake System in the Great Rift Valley,2011,36.24,-0.4425,32034,Natural,Kenya,Africa
Sacred Mijikenda Kaya Forests,2008,39.59611111,-3.931944444,1538,Cultural,Kenya,Africa
"Fort Jesus, Mombasa",2011,39.67944444,-4.062777778,2.36,Cultural,Kenya,Africa
Thimlich Ohinga Archaeological Site,2018,34.326107,-0.891338056,21,Cultural,Kenya,Africa
The Historic Town and Archaeological Site of Gedi,2024,40.01726389,-3.310263889,20.81,Cultural,Kenya,Africa
Phoenix Islands Protected Area,2010,-172.650203,-3.864454,40825000,Natural,Kiribati,Asia and the Pacific
Sulaiman-Too Sacred Mountain,2009,72.78277778,40.53111111,112,Cultural,Kyrgyzstan,Asia and the Pacific
Town of Luang Prabang,1995,102.13333,19.88889,820,Cultural,Lao People's Democratic Republic,Asia and the Pacific
Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,2001,105.8222222,14.84833333,39000,Cultural,Lao People's Democratic Republic,Asia and the Pacific
Megalithic Jar Sites in Xiengkhuang – Plain of Jars,2019,103.1522222,19.43105556,174.56,Cultural,Lao People's Democratic Republic,Asia and the Pacific
Historic Centre of Riga,1997,24.11667,56.95417,438.3,Cultural,Latvia,Europe and North America
Old town of Kuldīga,2023,21.97152778,56.96775,84.33,Cultural,Latvia,Europe and North America
Anjar,1984,35.93333333,33.73194444,,Cultural,Lebanon,Arab States
Baalbek,1984,36.20416667,34.00666667,0,Cultural,Lebanon,Arab States
Byblos,1984,35.64555556,34.11917,,Cultural,Lebanon,Arab States
Tyre,1984,35.19583333,33.26916667,153.8,Cultural,Lebanon,Arab States
Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),1998,36.95111111,34.25388889,1720.2,Cultural,Lebanon,Arab States
Rachid Karami International Fair-Tripoli,2023,35.82416667,34.43777778,72,Cultural,Lebanon,Arab States
Archaeological Site of Leptis Magna,1982,14.29306,32.63833,387.485,Cultural,Libya,Arab States
Archaeological Site of Sabratha,1982,12.485,32.80528,90.534,Cultural,Libya,Arab States
Archaeological Site of Cyrene,1982,21.85833,32.825,131.675,Cultural,Libya,Arab States
Rock-Art Sites of Tadrart Acacus,1985,10.33333,24.83333,3923961,Cultural,Libya,Arab States
Old Town of Ghadamès,1986,9.5,30.13333333,287.59,Cultural,Libya,Arab States
Vilnius Historic Centre,1994,25.29306,54.68667,352.09,Cultural,Lithuania,Europe and North America
Kernavė Archaeological Site (Cultural Reserve of Kernavė),2004,24.853,54.879,194.4,Cultural,Lithuania,Europe and North America
"Modernist Kaunas: Architecture of Optimism, 1919-1939",2023,23.92916667,54.89694444,455.3,Cultural,Lithuania,Europe and North America
City of Luxembourg: its Old Quarters and Fortifications,1994,6.13333,49.61,29.94,Cultural,Luxembourg,Europe and North America
Andrefana Dry Forests,1990,44.76738611,-18.66157778,734298,Natural,Madagascar,Africa
Royal Hill of Ambohimanga,2001,47.56278,-18.75917,59,Cultural,Madagascar,Africa
Rainforests of the Atsinanana,2007,49.7025,-14.45972222,479660.7,Natural,Madagascar,Africa
Lake Malawi National Park,1984,34.88333,-14.03333,9400,Natural,Malawi,Africa
Chongoni Rock-Art Area,2006,34.20707383,-14.21852077,12640,Cultural,Malawi,Africa
Mount Mulanje Cultural Landscape,2025,35.65805556,-15.91166667,89549,Cultural,Malawi,Africa
Kinabalu Park,2000,116.5,6.25,75370,Natural,Malaysia,Asia and the Pacific
Gunung Mulu National Park,2000,114.91667,4.13333,52864,Natural,Malaysia,Asia and the Pacific
The Archaeological Heritage of Niah National Park’s Caves Complex,2024,113.7807667,3.804291667,3609,Cultural,Malaysia,Asia and the Pacific
"Melaka and George Town, Historic Cities of the Straits of Malacca",2008,100.3458333,5.421388889,154.68,Cultural,Malaysia,Asia and the Pacific
Archaeological Heritage of the Lenggong Valley,2012,100.9723278,5.067908333,398.64,Cultural,Malaysia,Asia and the Pacific
Forest Research Institute Malaysia Forest Park Selangor,2025,101.6272778,3.22925,589,Cultural,Malaysia,Asia and the Pacific
Old Towns of Djenné,1988,-4.555,13.90639,0,Cultural,Mali,Africa
Timbuktu,1988,-2.999444444,16.77333333,0,Cultural,Mali,Africa
Cliff of Bandiagara (Land of the Dogons),1989,-3.41667,14.33333,327390,Mixed,Mali,Africa
Tomb of Askia,2004,-0.04456,16.2898,4.24,Cultural,Mali,Africa
Ħal Saflieni Hypogeum,1980,14.50688337,35.86959,0.13,Cultural,Malta,Europe and North America
City of Valletta,1980,14.51444,35.90056,55.5,Cultural,Malta,Europe and North America
Megalithic Temples of Malta,1980,14.26947,36.04908,3.155,Cultural,Malta,Europe and North America
Bikini Atoll Nuclear Test Site,2010,165.3805556,11.6,73500,Cultural,Marshall Islands,Asia and the Pacific
Banc d'Arguin National Park,1989,-16.10889,20.23472,1200000,Natural,Mauritania,Arab States
"Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata",1996,-11.62361,20.92889,0,Cultural,Mauritania,Arab States
Aapravasi Ghat,2006,57.50316667,-20.15863889,0.164,Cultural,Mauritius,Africa
Le Morne Cultural Landscape,2008,57.32833333,-20.45194444,349.6,Cultural,Mauritius,Africa
Sian Ka'an,1987,-87.79167,19.38333,528000,Natural,Mexico,Latin America and the Caribbean
Pre-Hispanic City and National Park of Palenque,1987,-92.05,17.48333,1772,Cultural,Mexico,Latin America and the Caribbean
Historic Centre of Mexico City and Xochimilco,1987,-99.13278,19.41833,3010.86,Cultural,Mexico,Latin America and the Caribbean
Pre-Hispanic City of Teotihuacan,1987,-98.84167,19.69167,250,Cultural,Mexico,Latin America and the Caribbean
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,1987,-96.725885,17.061579,4375,Cultural,Mexico,Latin America and the Caribbean
Historic Centre of Puebla,1987,-98.197769,19.045967,690,Cultural,Mexico,Latin America and the Caribbean
Historic Town of Guanajuato and Adjacent Mines,1988,-101.25556,21.01694,2167.5,Cultural,Mexico,Latin America and the Caribbean
Pre-Hispanic City of Chichen-Itza,1988,-88.568654,20.682739,0,Cultural,Mexico,Latin America and the Caribbean
Whale Sanctuary of El Vizcaino,1993,-114.22778,27.79222,369631,Natural,Mexico,Latin America and the Caribbean
"Archaeological Zone of Paquimé, Casas Grandes",1998,-107.948122,30.367128,146.72,Cultural,Mexico,Latin America and the Caribbean
Historic Centre of Morelia,1991,-101.190376,19.700927,390,Cultural,Mexico,Latin America and the Caribbean
"El Tajin, Pre-Hispanic City",1992,-97.377642,20.446095,240,Cultural,Mexico,Latin America and the Caribbean
Historic Centre of Zacatecas,1993,-102.573531,22.775484,207.72,Cultural,Mexico,Latin America and the Caribbean
Earliest 16th-Century Monasteries on the Slopes of Popocatepetl,1994,-98.89777778,18.93472222,24.33,Cultural,Mexico,Latin America and the Caribbean
Rock Paintings of the Sierra de San Francisco,1993,-113.020427,27.626963,182600,Cultural,Mexico,Latin America and the Caribbean
Pre-Hispanic Town of Uxmal,1996,-89.77027778,20.36166667,2059.8,Cultural,Mexico,Latin America and the Caribbean
Historic Monuments Zone of Querétaro,1996,-100.392135,20.593292,258.3,Cultural,Mexico,Latin America and the Caribbean
"Hospicio Cabañas, Guadalajara",1997,-103.337798,20.676888,2.34,Cultural,Mexico,Latin America and the Caribbean
Historic Monuments Zone of Tlacotalpan,1998,-95.658676,18.613459,75,Cultural,Mexico,Latin America and the Caribbean
Historic Fortified Town of Campeche,1999,-90.53722,19.84639,181,Cultural,Mexico,Latin America and the Caribbean
Archaeological Monuments Zone of Xochicalco,1999,-99.29639,18.803972,707.65,Cultural,Mexico,Latin America and the Caribbean
"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",2002,-89.73728333,18.05302778,331397,Mixed,Mexico,Latin America and the Caribbean
Franciscan Missions in the Sierra Gorda of Querétaro,2003,-99.46411111,21.20438889,103.7,Cultural,Mexico,Latin America and the Caribbean
Luis Barragán House and Studio,2004,-99.19235334,19.41119788,0.1161,Cultural,Mexico,Latin America and the Caribbean
Islands and Protected Areas of the Gulf of California,2005,-112.54583,27.62667,688558,Natural,Mexico,Latin America and the Caribbean
Agave Landscape and Ancient Industrial Facilities of Tequila,2006,-103.7786111,20.86305556,35018.852,Cultural,Mexico,Latin America and the Caribbean
Central University City Campus of the <i>Universidad Nacional Autónoma de México</i> (UNAM),2007,-99.18805556,19.33222222,176.5,Cultural,Mexico,Latin America and the Caribbean
Protective town of San Miguel and the Sanctuary of Jesús Nazareno de Atotonilco,2008,-100.7463889,20.91444444,46.95,Cultural,Mexico,Latin America and the Caribbean
Monarch Butterfly Biosphere Reserve,2008,-100.2416667,19.60638889,13551.552,Natural,Mexico,Latin America and the Caribbean
Camino Real de Tierra Adentro,2010,-102.3791667,22.60805556,3101.91,Cultural,Mexico,Latin America and the Caribbean
Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca,2010,-96.42111111,16.95083333,1515.17,Cultural,Mexico,Latin America and the Caribbean
El Pinacate and Gran Desierto de Altar Biosphere Reserve,2013,-113.9166667,32,714566,Natural,Mexico,Latin America and the Caribbean
Aqueduct of Padre Tembleque Hydraulic System,2015,-98.66256667,19.83527778,6540,Cultural,Mexico,Latin America and the Caribbean
Archipiélago de Revillagigedo,2016,-110.9752778,18.78805556,636685.375,Natural,Mexico,Latin America and the Caribbean
Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,2018,-97.18715278,17.98996111,145255.2,Mixed,Mexico,Latin America and the Caribbean
